available,block_hash,block_number,broker_address,chain_id,direction,implementation_address,implementation_code_hash,input_amount,input_asset,kind,lp_amount,output_amount,output_asset,post_spot_balance,post_usd_balance,protocol_fee_amount,sale_available,sale_output_amount,sale_protocol_fee_amount,sale_unavailable_reason,spot_balance,spot_out,spot_price,unavailable_reason,usd_balance,usd_out,usd_price
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,5623000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,24117606992,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,305760501,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,10000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,42887414362,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,544125664,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,17780000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,76242492795,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,968588521,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,31620000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,135553932637,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,1726132637,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,56230000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,240942202102,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,3080991790,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,100000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,428130994293,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,5515572171,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,177800000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,760055753008,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,9922802900,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,316200000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,1347932157062,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,18022044094,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,562300000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,2384697907400,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,33282330060,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,1000000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,4199081118283,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,63378604872,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,1778000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,7314688534820,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,127814928918,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,3162000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,12384860256339,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,289666572767,,,,,49765106975452,,206916508416523960,,18937258593,,1000000000000000000
false,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,5623000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,,,,,,49765106975452,,206916508416523960,zero-output,18937258593,,1000000000000000000
false,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,usd-to-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,10000000000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,swap-quote,,,0xC1f33e0cf7e40a67375007104B929E49a581bafE,,,,,,,,49765106975452,,206916508416523960,zero-output,18937258593,,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,1000000000000000000,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,1000000000000000000,,,49765106974428,18937258593,,false,,,zero-output,49765106975452,1024,206916508416523960,,18937258593,0,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,4857927685216179718444858,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,4857927685216179718444858,,,49760130464755,18935364868,,true,1056771,0,,49765106975452,4976510697,206916508416523960,,18937258593,1893725,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,48579276852161797184448588,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,48579276852161797184448588,,,49715341868477,18918321335,,true,10565749,0,,49765106975452,49765106975,206916508416523960,,18937258593,18937258,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,242896384260808985922242940,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,242896384260808985922242940,,,49516281440575,18842572301,,true,52784933,0,,49765106975452,248825534877,206916508416523960,,18937258593,94686292,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,485792768521617971844485881,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,485792768521617971844485881,,,49267455905698,18747886008,,true,105460338,0,,49765106975452,497651069754,206916508416523960,,18937258593,189372585,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,971585537043235943688971762,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,971585537043235943688971762,,,48769804835943,18558513422,,true,210482559,0,,49765106975452,995302139509,206916508416523960,,18937258593,378745171,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,2428963842608089859222429406,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,2428963842608089859222429406,,,47276851626680,17990395664,,true,522920506,0,,49765106975452,2488255348772,206916508416523960,,18937258593,946862929,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,4857927685216179718444858812,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,4857927685216179718444858812,,,44788596277907,17043532734,,true,1034888040,0,,49765106975452,4976510697545,206916508416523960,,18937258593,1893725859,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,12144819213040449296112147030,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,12144819213040449296112147030,,,37323830231590,14202943945,,true,2516020237,5828531,,49765106975452,12441276743862,206916508416523960,,18937258593,4734314648,1000000000000000000
true,0xb716fb7135252cdc4cc58ed16066b65d47328308e61a196cde827f813e95c54d,25853823,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,1,lp-to-usd-and-spot,0x9ce5056eeed22e4569a39daa670bacd277df3ef1,0x2005b63859f224931e9336ab2fb012c7edc4304deaa0c9d5bb59378ae63dfb3e,24289638426080898592224294061,0xA088Aef966CAD7fE0B38e28c2E07590127Ab4ccB,lp-redemption,24289638426080898592224294061,,,24882553487727,9468629297,,false,,,contract-reverted,49765106975452,24882553487725,206916508416523960,,18937258593,9468629296,1000000000000000000
